cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,poll_id,question_id,createddate,timestamp
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-11-01,2016-11-02,Remington,NA,3076,lv,3.373787,46,44,NA,45.27399,41.91459,NA,48494,76000,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New York,2016-11-03,2016-11-06,Gravis Marketing,B-,1681,rv,3.337564,55,36,2,54.84194,35.33231,2.726098,48853,76449,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Michigan,2016-11-03,2016-11-04,Public Policy Polling,B+,957,lv,3.331139,46,41,6,45.44545,40.33095,7.207659,48348,75741,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-10-31,2016-11-01,Public Policy Polling,B+,1169,lv,3.322677,49,47,NA,47.90348,45.94813,NA,48326,75699,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,2016-11-01,2016-11-02,Remington,NA,2720,lv,3.256398,49,41,NA,48.22713,38.86464,NA,48495,76001,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-11-01,2016-11-02,Remington,NA,2683,lv,3.245717,46,45,NA,45.30896,42.94988,NA,48493,75999,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-11-01,2016-11-06,Christopher Newport University,B-,1193,lv,3.233819,48,42,3,48.93321,43.6221,1.996604,48512,76034,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-11-01,2016-11-02,Remington,NA,2596,lv,3.219699,45,48,NA,44.39882,46.0411,NA,48491,75997,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,2016-11-01,2016-11-02,Remington,NA,2557,lv,3.207606,44,45,NA,43.03321,42.67245,NA,48492,75998,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,2016-11-03,2016-11-05,YouGov,B,995,lv,3.185894,43,49,4,43.80799,48.99024,5.169494,48682,76245,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,2016-10-31,2016-11-01,Public Policy Polling,B+,1083,lv,3.173688,37,50,4,36.55124,49.59908,5.028656,48119,75343,11/2/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New Hampshire,2016-11-04,2016-11-05,Emerson College,B,1000,lv,3.168547,45.4,43.8,4.5,45.37532,41.71392,4.769466,48519,76055,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,2016-11-03,2016-11-06,Gravis Marketing,B-,1453,rv,3.133701,43,45,3,42.84287,44.33273,3.726098,48851,76447,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-10-31,2016-11-06,CVOTER International,C+,1625,lv,3.132291,48.91,46.13,NA,47.01806,42.04561,NA,48615,76159,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-11-01,2016-11-02,Remington,NA,2352,lv,3.123244,45,48,NA,44.85722,46.49677,NA,48489,75995,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-10-31,2016-11-01,Public Policy Polling,B+,1050,lv,3.114036,48,44,NA,46.81404,42.86101,NA,48329,75702,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-04,2016-11-05,Morning Consult,NA,1482,lv,3.083018,45,42,8,46.2831,43.27167,6.904304,48477,75968,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-11-03,2016-11-05,YouGov,B,931,lv,3.0690210000000002,45,43,4,45.82043,42.99602,5.169494,48683,76246,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Nevada,2016-11-03,2016-11-06,Gravis Marketing,B-,1158,lv,3.059317,45,43,4,43.52706,40.25877,5.414673,48689,76269,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,2016-11-03,2016-11-06,Gravis Marketing,B-,1378,rv,3.058729,44,43,5,43.84619,42.3342,5.726098,48850,76446,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-11-02,2016-11-04,YouGov,B,1188,rv,3.053852,45,45,NA,47.07455,46.99468,NA,48482,75978,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-10-31,2016-11-06,SurveyMonkey,C-,70194,lv,3.020698,47,41,6,45.65592,40.37888,3.677361,48515,76043,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,2016-11-01,2016-11-02,Clarity Campaign Labs,B,1129,lv,2.987877,47,43,4,47.83631,42.94844,4.024297,48621,76170,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,2016-11-04,2016-11-05,Emerson College,B,900,lv,2.984264,38.9,45.6,6.8,38.85865,43.50651,7.069466,48516,76052,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New Hampshire,2016-11-03,2016-11-06,University of New Hampshire,B+,692,lv,2.974129,49,38,6,48.71549,39.2107,6.444664,48497,76013,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-11-01,2016-11-04,Clarity Campaign Labs,B,1033,lv,2.97223,47,43,4,47.77524,42.83232,4.096484,48620,76169,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-10-20,2016-10-25,Pew Research Center,B+,2120,rv,2.969116,46,40,6,45.82386,42.70839,3.531025,47616,74519,10/27/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-10-20,2016-10-24,SurveyUSA,A,1251,lv,2.954021,48,45,2,46.74555,45.86589,1.52073,47465,74252,10/25/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,California,2016-10-25,2016-10-31,YouGov,B,1498,lv,2.951676,53,33,4,53.93975,34.06845,4.511946,48125,75391,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,2.951606,45,43,4,45.56041,43.13745,4.418502,48613,76157,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,2016-11-01,2016-11-02,Remington,NA,1863,lv,2.934303,42,41,NA,40.24119,37.87783,NA,48488,75994,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New York,2016-11-03,2016-11-04,Siena College,A,617,lv,2.903992,51,34,5,51.30942,35.12664,4.344325,48478,75969,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Nevada,2016-11-01,2016-11-02,Remington,NA,1793,lv,2.898775,45,46,NA,43.87231,43.51139,NA,48490,75996,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-11-03,2016-11-06,Gravis Marketing,B-,1220,rv,2.885523,46,40,7,45.83721,39.33021,7.726098,48856,76452,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,2016-10-30,2016-11-01,Marist College,A,719,lv,2.859202,40,45,9,38.85863,45.72376,7.587354,48211,75509,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,2016-11-01,2016-11-02,Clarity Campaign Labs,B,1036,lv,2.852793,38,54,NA,37.65693,52.77196,NA,48622,76171,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,2016-11-03,2016-11-06,Gravis Marketing,B-,1184,rv,2.842833,47,44,3,46.84436,43.33339,3.726098,48858,76454,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Washington,2016-10-31,2016-11-02,SurveyUSA,A,681,lv,2.811729,50,38,4,48.87802,36.95385,4.691579,48365,75831,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-11-01,2016-11-04,Gravis Marketing,B-,1362,rv,2.810909,47,42,4,46.97759,41.41807,4.720103,48772,76355,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,2016-10-31,2016-11-01,Public Policy Polling,B+,891,lv,2.805241,48,41,NA,46.73323,39.78602,NA,48330,75703,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,California,2016-10-22,2016-10-30,Greenberg Quinlan Rosner/American Viewpoint,B+,1382,lv,2.797422,54,30,4,54.28659,31.63001,3.403508,48321,75803,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,2016-10-30,2016-11-01,Marist College,A,707,lv,2.795523,44,45,8,42.81871,45.65459,6.587354,48209,75507,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,California,2016-10-28,2016-10-31,SurveyUSA,A,747,lv,2.794053,56,35,4,54.86451,34.27885,4.457467,48011,75087,11/1/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-11-01,2016-11-07,SurveyMonkey,C-,4092,lv,2.785524,47,45,4,45.5919,44.32744,1.69243,48869,76559,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Texas,2016-10-30,2016-11-01,Marist College,A,679,lv,2.747991,40,49,6,38.84342,49.69741,4.587354,48210,75508,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,2016-10-31,2016-11-01,Remington,NA,1722,lv,2.741439,39,52,4,39.02343,50.77483,5.124639,48186,75458,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,2016-10-29,2016-10-31,Saguaro Strategies,NA,2229,lv,2.722561,45,44,7,43.5845,44.02861,6.357814,48185,75456,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Utah,2016-11-03,2016-11-05,YouGov,B,762,lv,2.720083,23,40,7,23.83396,40.0023,8.169495,48684,76247,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,2016-11-03,2016-11-04,Public Policy Polling,B+,704,lv,2.715406,48,43,4,47.45403,42.33493,5.207659,48347,75739,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-11-02,2016-11-06,Hampton University,B,802,lv,2.696078,45,41,NA,46.01075,40.15596,NA,48685,76257,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Utah,2016-10-31,2016-11-02,Emerson College,B,1000,lv,2.695307,19.6,39.8,3,19.75684,38.0144,3.075563,48196,75478,11/3/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-11-01,2016-11-07,SurveyMonkey,C-,3126,lv,2.68796,48,41,7,46.58087,40.32232,4.69243,48893,76583,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Texas,2016-11-01,2016-11-07,SurveyMonkey,C-,3009,lv,2.684719,43,46,6,41.58838,45.3258,3.69243,48903,76593,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Michigan,2016-11-01,2016-11-07,SurveyMonkey,C-,3145,lv,2.684582,44,42,8,42.5951,41.32892,5.69243,48882,76572,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-11-01,2016-11-04,Gravis Marketing,B-,1250,rv,2.681607,46,45,3,45.96828,44.41288,3.720103,48773,76356,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,2016-11-04,2016-11-05,Emerson College,B,750,lv,2.673305,40.5,46.5,6.6,40.45619,44.40542,6.869466,48518,76054,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-04,2016-11-07,Insights West,NA,940,lv,2.661476,49,45,4,49.14547,45.12675,4.253578,48911,76601,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,2016-11-01,2016-11-07,SurveyMonkey,C-,2860,lv,2.649181,42,45,7,40.59315,44.32802,4.69243,48895,76585,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-11-01,2016-11-07,SurveyMonkey,C-,2845,lv,2.646815,46,43,6,44.58637,42.32487,3.69243,48898,76588,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,799,lv,2.646744,48,44,4,47.34301,42.21297,3.469063,48090,75243,11/2/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,2016-11-01,2016-11-07,SurveyMonkey,C-,2777,lv,2.635824,43,40,10,41.60367,39.3329,7.69243,48865,76555,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New Mexico,2016-11-01,2016-11-02,Gravis Marketing,B-,1327,rv,2.631171,45,37,11,45.03643,36.53281,11.64792,48775,76358,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,California,2016-11-01,2016-11-07,SurveyMonkey,C-,2712,lv,2.624894,56,31,6,54.59576,30.32923,3.69243,48864,76554,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Nevada,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,790,lv,2.624312,43,49,5,42.3558,47.24366,4.469063,48089,75239,11/2/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,2016-11-01,2016-11-07,SurveyMonkey,C-,2609,lv,2.606663,45,42,7,43.59727,41.32993,4.69243,48862,76552,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,2016-11-06,2016-11-06,Trafalgar Group,C,1250,lv,2.59701,45.11,51.58,1.89,44.73904,48.6823,2.955849,48770,76353,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,769,lv,2.571478,44,49,5,43.36176,47.25795,4.469063,48087,75231,11/2/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New Hampshire,2016-10-31,2016-11-01,Public Policy Polling,B+,781,lv,2.568357,48,43,NA,45.84364,40.90704,NA,48327,75700,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,2016-11-01,2016-11-07,SurveyMonkey,C-,2419,lv,2.564084,45,45,7,43.57392,44.31909,4.69243,48870,76560,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Michigan,2016-11-06,2016-11-06,Trafalgar Group,C,1200,lv,2.559789,46.82,48.52,2.89,46.44904,45.6223,3.955849,48686,76258,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,773,lv,2.557385,49,47,3,48.35252,45.23579,2.469063,48088,75235,11/2/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-10-20,2016-11-01,RAND (American Life Panel),B-,2269,lv,2.551487,43.7,34.6,7.7,43.13676,38.24491,5.9578,48009,75084,11/1/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Utah,2016-10-30,2016-10-31,Gravis Marketing,B-,1424,rv,2.534445,29,35,3,29.04086,34.78405,3.422875,48357,75794,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,2016-11-01,2016-11-07,SurveyMonkey,C-,2246,lv,2.5318329999999998,44,42,7,42.60015,41.33127,4.69243,48909,76599,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-11-01,2016-11-07,SurveyMonkey,C-,2183,lv,2.529197,49,41,7,47.58769,40.32549,4.69243,48906,76596,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-11-01,2016-11-02,Gravis Marketing,B-,1220,rv,2.526391,46,45,4,46.02363,44.52199,4.647916,48776,76359,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New York,2016-11-01,2016-11-07,SurveyMonkey,C-,2208,lv,2.522875,57,32,5,55.59548,31.3291,2.69243,48892,76582,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-10-28,2016-10-31,SurveyUSA,A,659,lv,2.510095,44,51,NA,42.12159,49.50006,NA,48008,75083,11/1/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Michigan,2016-11-01,2016-11-04,Gravis Marketing,B-,1079,rv,2.480104,46,41,3,45.98772,40.42371,3.720103,48774,76357,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-11-06,2016-11-06,Trafalgar Group,C,1100,lv,2.479039,46.13,49.72,2.43,45.75904,46.8223,3.495849,48624,76179,11/7/16,09:35:33  8 Nov 2016
