cluster	men2012	women2012	paperN	label	men1990_2012	women1990_2012	men1989	women1989	men1900	women1900	men1901_1910	women1901_1910	men1911_1920	women1911_1920	men1921_1930	women1921_1930	men1931_1940	women1931_1940	men1941_1950	women1941_1950	men1951_1960	women1951_1960	men1961_1970	women1961_1970	men1971_1980	women1971_1980	men1981_1990	women1981_1990	men1991_2000	women1991_2000	men2001_2010	women2001_2010	men2011_2020	women2011_2020	men2010	women2010	firstM1901_1910	firstF1901_1910	firstM1911_1920	firstF1911_1920	firstM1921_1930	firstF1921_1930	firstM1931_1940	firstF1931_1940	firstM1941_1950	firstF1941_1950	firstM1951_1960	firstF1951_1960	firstM1961_1970	firstF1961_1970	firstM1971_1980	firstF1971_1980	firstM1981_1990	firstF1981_1990	firstM1991_2000	firstF1991_2000	firstM2001_2010	firstF2001_2010	firstM2011_2020	firstF2011_2020	lastM1901_1910	lastF1901_1910	lastM1911_1920	lastF1911_1920	lastM1921_1930	lastF1921_1930	lastM1931_1940	lastF1931_1940	lastM1941_1950	lastF1941_1950	lastM1951_1960	lastF1951_1960	lastM1961_1970	lastF1961_1970	lastM1971_1980	lastF1971_1980	lastM1981_1990	lastF1981_1990	lastM1991_2000	lastF1991_2000	lastM2001_2010	lastF2001_2010	firstM2012	firstF2012	lastM2012	lastF2012	firstM1900	firstF1900	lastM1900	lastF1900
10:01:01	2230	2084	3052	Reading instruction	893	1149	1337	935	0	0	1	0	3	1	8	2	9	5	23	10	35	12	150	31	368	158	823	781	496	582	309	491	5	11	27	26	1	0	3	1	7	2	9	4	14	7	27	10	115	25	255	93	468	427	257	287	159	245	4	4	0	0	0	0	1	0	0	1	7	3	8	2	30	5	88	37	218	217	154	149	83	147	1319	1105	590	563	0	0	0	0
10:1:1:1	1895	1718	2451	Reading comprehension	688	926	1207	792	0	0	1	0	3	1	8	2	9	5	23	10	34	10	130	29	338	133	732	658	385	483	227	381	5	6	23	22	1	0	3	1	7	2	9	4	14	7	26	8	97	24	230	74	404	346	188	221	121	181	4	3	0	0	0	0	1	0	0	1	7	3	8	2	28	4	83	32	195	192	121	127	62	120	1104	871	506	483	0	0	0	0
10:1:1:1:1	136	154	187	Vocabulary development	65	90	71	64	0	0	0	0	0	0	0	0	1	0	1	2	0	1	7	2	11	15	57	52	27	31	32	50	0	1	7	7	0	0	0	0	0	0	1	0	1	1	0	1	5	2	6	9	29	27	9	20	19	21	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	2	15	16	12	6	6	16	70	82	39	41	0	0	0	0
10:1:1:1:4	81	40	106	Readability	1	3	80	37	0	0	0	0	0	0	0	0	0	0	2	2	5	2	25	3	31	16	17	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	2	16	2	25	8	9	11	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	5	1	6	5	5	5	0	0	0	0	57	24	17	13	0	0	0	0
10:1:1:1:6	80	119	108	Learning disabled students	47	69	33	50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	5	5	23	45	36	44	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	3	9	20	12	17	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	7	16	11	10	3	9	31	50	23	36	0	0	0	0
10:1:1:2	140	201	345	ESL reading	65	106	75	95	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	1	22	11	46	90	34	61	25	35	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	1	19	9	36	61	23	46	17	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	8	18	11	11	4	8	107	142	27	39	0	0	0	0
10:01:02	1634	1823	2367	Reading behavior	821	1269	813	554	0	0	2	0	2	0	4	3	3	0	11	7	40	17	75	27	364	192	365	340	413	557	339	649	16	31	26	64	2	0	2	0	4	2	2	0	10	7	27	14	62	18	244	122	220	194	213	298	148	284	10	14	0	0	0	0	0	1	1	0	1	0	12	3	11	6	88	48	103	93	122	140	112	170	944	953	453	474	0	0	0	0
10:01:03	559	447	675	Learning and development	116	145	443	302	1	1	2	0	0	0	0	0	1	1	3	2	7	3	79	29	224	140	132	146	74	83	36	42	0	0	4	4	2	0	0	0	0	0	1	1	2	1	4	2	43	15	104	77	67	84	40	42	12	21	0	0	0	0	0	0	0	0	0	0	0	1	3	1	27	8	84	39	37	42	18	21	16	10	276	244	185	122	1	1	0	0
10:01:04	549	164	475	Advance organizers 	107	50	442	114	0	0	0	0	0	0	1	1	6	1	4	1	5	2	94	9	228	57	125	49	60	28	26	16	0	0	0	0	0	0	0	0	0	1	4	1	4	0	5	2	65	6	136	21	71	30	26	13	11	7	0	0	0	0	0	0	1	0	2	0	0	1	0	0	22	1	59	26	35	15	18	8	8	4	322	81	145	55	0	0	0	0
10:02	5586	2602	5680	School effectiveness	3509	2010	2077	592	1	0	1	1	1	0	2	3	14	4	9	1	21	2	179	13	576	122	1420	502	1581	869	1732	1048	49	37	138	78	1	1	1	0	2	3	10	0	8	1	19	2	134	8	393	71	907	280	966	445	869	465	26	9	0	0	0	0	0	0	4	4	1	0	2	0	34	5	142	35	360	157	409	265	485	316	3337	1285	1448	792	1	0	0	0
10:20	278	123	265	Scientometrics of eduction	157	87	121	36	0	0	0	0	0	0	0	0	0	0	1	0	6	0	9	2	66	16	45	20	49	25	100	60	2	0	8	3	0	0	0	0	0	0	0	0	1	0	5	0	8	0	48	7	32	11	33	14	37	20	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	12	6	11	7	12	6	32	15	165	52	69	36	0	0	0	0
10:21	366	35	362	Learning channels	1	1	365	34	0	0	0	0	1	0	1	0	1	0	2	0	60	5	245	22	52	7	3	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	2	0	49	3	171	14	36	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	58	5	11	2	0	0	0	0	0	0	265	21	77	8	0	0	0	0
10:24	318	193	381	College biology	254	175	64	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	18	4	53	22	120	51	120	111	3	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	15	3	39	16	84	30	47	46	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	11	5	26	14	34	24	189	97	75	45	0	0	0	0
10:26	307	68	377	Teacher efficiency	1	1	306	67	0	0	0	0	0	0	1	0	3	0	54	15	193	38	43	10	10	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	45	12	144	24	32	3	8	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	3	36	9	10	4	2	1	0	1	0	0	0	0	235	41	57	18	0	0	0	0
10:27	302	111	426	Arithmetic	0	0	302	111	0	0	1	0	1	0	22	12	89	27	150	65	19	1	8	1	4	4	8	1	0	0	0	0	0	0	0	0	1	0	1	0	19	9	73	9	104	36	16	1	7	0	3	3	6	1	0	0	0	0	0	0	0	0	0	0	3	2	5	9	27	16	2	0	1	1	1	1	2	0	0	0	0	0	230	59	41	29	0	0	0	0
10:02:01	244	145	266	Educational stratification	160	111	84	34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	24	6	63	27	85	60	68	48	2	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	2	2	14	3	39	18	43	34	37	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	19	8	19	20	21	10	135	85	67	40	0	0	0	0
10:02:10	103	62	105	School size	64	57	39	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	1	28	8	22	30	38	22	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	1	18	3	13	14	19	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	4	7	11	10	8	61	28	27	23	0	0	0	0
10:02:13	163	30	122	Private schooling 	162	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	44	9	113	19	5	2	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	6	47	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	38	6	82	17	49	10	0	0	0	0
10:02:02	149	40	127	Effects of resources	104	36	45	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	24	8	66	15	35	16	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	17	3	41	9	18	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	4	13	4	10	4	91	20	36	12	0	0	0	0
10:02:03	100	145	146	Effects of family	66	127	34	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	30	18	32	66	32	57	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	15	12	16	34	8	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	5	10	21	6	16	43	72	28	43	0	0	0	0
10:02:05	198	65	161	Teacher retention	138	50	60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	9	0	58	15	29	12	94	36	6	1	11	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	32	11	16	7	48	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	22	3	12	4	26	6	107	32	63	14	0	0	0	0
10:02:06	127	63	104	Dropout	64	52	63	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	9	2	59	13	42	29	13	13	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	32	3	24	9	7	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	13	5	13	8	4	4	70	18	35	20	0	0	0	0
10:02:08	119	31	133	Determinants of achievement	52	15	67	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	26	6	44	11	34	9	14	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	22	4	26	6	19	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	11	4	9	3	5	1	75	17	29	9	0	0	0	0
10:03	4277	3249	5768	Mathematics instruction	3104	2773	1173	476	4	0	6	1	12	0	6	2	17	2	8	3	23	2	57	13	353	84	805	444	1417	1206	1532	1443	37	49	122	116	6	1	7	0	6	1	15	2	8	2	16	2	44	9	235	56	525	262	838	638	769	681	15	19	0	0	2	0	0	1	2	0	0	1	6	0	11	2	85	19	171	113	361	314	435	392	2488	1673	1086	857	4	0	0	0
10:03:01	1947	1649	2715	Elementary school mathematics	1281	1341	666	308	1	0	4	1	2	0	2	1	7	0	8	2	10	0	23	4	211	57	460	291	661	611	553	660	5	22	41	48	4	1	2	0	2	1	6	0	8	1	7	0	17	2	132	35	282	167	398	323	284	305	2	9	0	0	0	0	0	0	1	0	0	1	2	0	5	1	54	15	105	75	163	163	151	173	1145	844	483	436	1	0	0	0
10:03:02	930	714	1033	Knowledge building	819	669	111	45	2	0	1	0	1	0	1	0	5	1	0	1	2	1	6	0	19	4	91	46	328	275	460	372	14	14	32	30	1	0	1	0	1	0	5	1	0	1	1	1	5	0	11	4	57	28	145	130	205	148	5	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8	0	26	11	106	68	137	114	439	317	285	195	2	0	0	0
10:03:03	454	261	740	Mathematical proof	334	230	120	31	0	0	1	0	0	0	1	0	3	1	0	0	3	0	5	1	36	4	80	28	141	88	180	136	4	3	15	16	1	0	0	0	1	0	3	1	0	0	3	0	5	1	27	4	64	18	107	53	104	80	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	8	25	23	51	38	316	158	94	70	0	0	0	0
10:04	2050	1203	2674	Teacher development	799	837	1251	366	5	0	1	0	4	0	5	0	18	1	12	2	40	3	183	26	498	97	536	282	462	474	284	317	2	1	20	15	1	0	4	0	5	0	16	0	8	1	31	1	151	13	369	64	387	178	309	246	167	162	1	1	0	0	0	0	0	0	2	1	2	1	7	0	26	13	85	28	100	73	101	127	66	87	1452	666	391	330	3	0	1	0
10:04:01	995	740	1303	Teacher education	432	537	563	203	2	0	1	0	0	0	1	0	0	1	0	0	16	0	64	12	209	43	305	176	256	326	139	181	2	1	10	11	1	0	0	0	1	0	0	0	0	0	13	0	53	7	137	27	207	102	157	159	74	97	1	1	0	0	0	0	0	0	0	1	0	0	3	0	9	5	51	13	61	49	63	91	37	53	644	393	226	212	0	0	1	0
10:04:02	397	158	511	Educational ethnography	107	85	290	73	0	0	0	0	0	0	0	0	2	0	1	0	8	0	34	5	127	24	125	48	71	59	29	22	0	0	1	1	0	0	0	0	0	0	1	0	1	0	7	0	31	2	109	19	101	31	50	30	19	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	3	12	5	18	13	14	16	7	7	319	90	56	44	0	0	0	0
10:05	1829	1174	2041	Self-image and performance 	586	604	1243	570	3	0	4	0	1	0	10	1	13	3	13	2	113	26	319	77	440	178	362	318	310	271	236	291	5	7	19	16	4	0	1	0	7	0	11	2	8	1	62	13	195	41	257	110	191	172	170	133	93	104	3	2	0	0	0	0	3	1	2	1	5	1	27	8	86	21	134	49	106	90	93	77	68	76	1005	578	525	327	3	0	0	0
10:05:01	800	516	857	Student self-perception	252	218	548	298	3	0	0	0	1	0	0	0	3	3	0	0	10	11	114	43	260	116	178	138	134	111	95	94	2	0	1	5	0	0	1	0	0	0	3	2	0	0	7	5	71	23	137	74	98	71	66	51	39	40	2	0	0	0	0	0	0	0	0	1	0	0	2	3	33	11	85	27	48	43	48	31	26	31	427	266	242	147	3	0	0	0
10:05:02	488	472	649	Sex differences in mathematics	225	304	263	168	0	0	0	0	0	0	0	0	0	0	0	0	19	5	37	3	86	32	132	146	108	131	103	152	3	3	12	7	0	0	0	0	0	0	0	0	0	0	10	2	27	2	53	20	66	79	62	68	35	47	1	1	0	0	0	0	0	0	0	0	0	0	4	2	9	0	27	11	39	39	26	37	29	31	254	219	135	121	0	0	0	0
10:06	2412	705	2207	Testing	1001	454	1411	251	1	0	2	0	16	0	9	0	12	1	4	2	49	5	274	28	571	93	514	135	563	253	394	188	3	0	33	8	2	0	13	0	8	0	9	0	3	2	41	3	195	15	378	43	310	68	301	115	174	74	2	0	0	0	3	0	1	0	3	1	1	0	7	2	60	12	149	34	140	44	159	82	138	54	1437	320	662	229	1	0	0	0
10:06:01	778	279	712	Test item bias	501	200	277	79	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24	1	87	22	186	63	251	101	229	92	0	0	30	5	0	0	1	0	0	0	0	0	0	0	0	0	17	1	58	12	103	30	122	42	92	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	26	6	57	20	84	40	84	25	393	122	258	91	0	0	0	0
10:06:02	380	65	354	Criterion-referenced testing	66	27	314	38	0	0	0	0	0	0	0	0	0	0	0	0	12	3	55	7	178	16	73	14	38	16	24	9	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	3	44	4	123	6	49	5	21	6	10	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	3	42	5	13	5	9	6	9	2	256	27	86	21	0	0	0	0
10:06:03	293	150	277	Student performance assessment	229	133	64	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	1	55	18	155	84	69	47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	33	14	91	43	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	4	41	20	21	14	169	76	79	38	0	0	0	0
10:07	1236	1293	2238	Minority students	848	1106	388	187	1	1	1	2	1	1	2	0	16	3	12	4	28	2	46	10	102	35	212	146	399	395	411	673	5	21	33	48	1	2	1	1	2	0	15	3	9	3	27	1	36	7	85	22	155	97	281	260	240	404	4	11	0	0	0	0	0	0	1	0	3	1	1	1	7	3	11	8	39	36	82	88	109	163	857	812	253	305	1	1	0	0
10:07:01	325	355	605	Culturally relevant pedagogy	210	289	115	66	0	1	1	0	0	0	0	0	2	0	5	3	1	1	6	4	33	11	74	54	123	140	77	134	3	7	9	5	1	0	0	0	0	0	2	0	4	2	1	0	5	3	29	7	53	37	85	92	42	84	3	2	0	0	0	0	0	0	0	0	1	1	0	1	1	1	4	2	11	14	22	32	24	31	225	228	63	84	0	1	0	0
10:07:02	167	249	374	Language use	146	240	21	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	14	9	51	52	93	179	2	9	4	14	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	10	9	37	38	51	102	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	10	7	21	42	105	154	35	52	0	0	0	0
10:08	1092	308	1106	Meta-analysis and assessment	129	84	963	224	0	0	0	0	1	0	7	3	17	5	2	4	46	8	269	46	392	88	239	79	80	40	38	35	1	0	2	1	0	0	1	0	6	3	14	3	2	3	33	4	188	22	261	47	138	39	42	21	13	13	1	0	0	0	0	0	1	0	2	2	0	1	10	4	54	13	91	31	70	24	26	8	13	14	699	155	267	97	0	0	0	0
10:08:01	418	140	420	Meta-analysis of educational research	95	58	323	82	0	0	0	0	1	0	7	3	16	5	2	2	22	6	81	20	94	17	106	31	61	30	28	26	0	0	2	1	0	0	1	0	6	3	13	3	2	1	17	3	57	9	59	10	61	16	32	17	8	10	0	0	0	0	0	0	1	0	2	2	0	1	3	3	15	4	24	5	28	6	19	4	10	11	256	72	102	36	0	0	0	0
10:08:02	261	57	277	Curriculum and social climate	22	14	239	43	0	0	0	0	0	0	0	0	0	0	0	0	6	0	100	11	87	21	47	14	13	5	7	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	78	6	55	14	27	6	7	2	4	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	19	4	23	3	15	6	5	2	3	1	177	31	66	16	0	0	0	0
10:09	1217	815	1791	Gender roles and education	923	704	294	111	0	0	0	0	0	0	2	0	2	0	0	0	12	2	12	4	70	19	220	103	524	337	364	340	11	10	18	17	0	0	0	0	2	0	2	0	0	0	11	2	12	4	61	15	190	69	359	213	240	194	6	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	4	19	25	106	65	88	88	883	502	222	185	0	0	0	0
11	23962	3977	32344	Political science - international	12065	2843	11897	1134	17	1	15	0	36	0	68	2	97	7	289	32	811	41	2203	146	3850	326	5098	662	6155	1211	5279	1527	44	22	396	127	13	0	36	0	66	1	89	7	272	31	738	33	1943	116	3227	250	4160	526	4823	904	3755	1112	29	13	2	0	0	0	2	1	5	0	12	1	55	7	192	23	473	59	750	107	1035	237	1106	291	19167	2994	3643	733	16	1	1	0
11:01	10624	1486	12994	International relations	6152	1131	4472	355	5	0	8	0	7	0	12	1	36	2	55	6	187	10	733	47	1450	94	2237	215	2995	463	2883	640	16	8	237	61	6	0	7	0	12	1	30	2	54	6	166	9	650	40	1189	71	1769	165	2268	333	2005	450	13	5	2	0	0	0	0	0	3	0	1	0	11	0	59	6	194	16	373	35	552	99	657	145	8174	1082	1855	304	5	0	0	0
11:11	167	37	298	East Asian economic development	109	31	58	6	0	0	0	0	1	0	1	0	1	0	3	1	4	0	6	1	14	1	33	6	69	8	35	20	0	0	0	0	0	0	1	0	1	0	1	0	3	1	4	0	5	0	12	1	29	3	60	3	29	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	4	3	9	5	6	4	145	24	22	13	0	0	0	0
11:13	220	58	339	Post-communist transition	191	56	29	2	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	0	9	0	16	2	94	21	90	35	3	0	4	4	0	0	0	0	0	0	0	0	2	0	4	0	2	0	7	0	16	2	83	18	73	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	1	14	5	189	50	27	6	0	0	0	0
11:15	132	36	279	Iranian revolution	49	16	83	20	0	0	0	0	0	0	0	0	4	0	1	1	0	1	12	3	31	9	38	6	24	11	22	5	0	0	2	1	0	0	0	0	0	0	3	0	1	1	0	1	12	3	27	5	32	5	21	11	20	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	4	6	1	3	0	2	1	116	30	15	6	0	0	0	0
11:16	173	16	312	Indian politics	21	1	152	15	0	0	0	0	0	0	0	0	1	0	0	1	13	3	48	1	58	8	34	2	14	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	13	2	47	1	49	7	30	2	13	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	8	1	4	0	1	0	0	0	158	14	14	2	0	0	0	0
11:01:01	535	78	561	Peace and democracy	472	75	63	3	2	0	0	0	0	0	0	0	0	0	2	0	1	0	14	0	15	1	31	2	239	36	231	39	0	0	15	2	0	0	0	0	0	0	0	0	2	0	1	0	10	0	11	1	26	2	152	22	147	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	4	0	60	11	74	5	351	52	143	16	2	0	0	0
11:01:10	179	31	219	Civil war	177	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	9	2	165	27	2	2	27	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	7	2	97	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	45	9	107	20	49	10	0	0	0	0
11:01:11	150	48	216	International norms	141	48	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	8	0	41	12	97	36	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	8	0	33	9	71	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	17	5	116	39	25	8	0	0	0	0
11:01:12	117	10	129	Arms races	22	2	95	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	37	5	52	3	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22	3	34	1	16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	1	14	2	4	1	0	0	79	5	28	4	0	0	0	0
11:01:13	119	34	157	European federalism	101	32	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	8	3	58	19	42	12	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	8	3	47	14	32	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8	3	8	3	96	25	18	6	0	0	0	0
